campaign_name,adset_name,date,spend,impressions,clicks,ctr,purchases,revenue,roas,creative_type,creative_message,audience_type,platform,country
Women Fit & Lift,Adset-1 ATC,2025-03-15,230.37,397867,9380.0,0.0236,83,2897.61,12.58,Video,3‑pack deal ends tonight — upgrade your women drawer with boyshorts.,Lookalike,Instagram,US
Men Premium Modal,Adset-1 Retarget,2025-03-28,440.8,121409,1725.0,0.0142,39,990.38,2.25,Video,Cooling mesh panels for workouts — men boxers you’ll actually love.,Retargeting,Facebook,US
Men Bold Colors Drop,Adset-4 Broad,2025-01-05,371.24,120886,1043.0,0.0086,10,428.63,1.15,Image,3‑pack deal ends tonight — upgrade your men drawer with trunks.,Broad,Instagram,UK
MEN BOLD COLORS DROP,Adset-4 Broad,2025-01-23,500.32,470425,3765.0,0.008,39,1571.65,3.14,Video,Doctors recommend breathable microfiber — meet our men athletic briefs.,Broad,Instagram,US
WOMEN Seamless Everyday,Adset-1 LAL1,2025-01-19,,52952,589.0,0.0111,17,665.83,1.44,Image,Invisible under tees — seamless women wire‑free bras.,Broad,Instagram,US
Women Fit & Lift,Adset-5 LAL1,2025-01-31,901.46,320040,6074.0,0.019,59,2944.08,3.27,Image,Invisible under tees — seamless women sports bras.,Broad,Instagram,US
MEN Signature Soft,Adset-2 Broad,2025-01-20,851.28,243502,1604.0,0.0066,10,411.39,0.48,Video,"Push comfort, not wires — everyday men inner vests.",Broad,Instagram,IN
men comfortmax launch,Adset-2 LAL2,2025-03-03,119.22,168428,4441.0,0.0264,120,5302.52,44.48,Video,Breathable microfiber that moves with you — limited offer on men boxers.,Lookalike,Instagram,US
Men Premium Modal,Adset-4 Retarget,2025-01-26,975.97,160360,1357.0,0.0085,36,1167.99,1.2,UGC,"Wire‑free ease, cloud‑soft cups — men boxers that fits right.",Broad,Instagram,IN
men premium modal,Adset-1 Retarget,2025-02-18,720.5,220055,3343.0,0.0152,90,2884.96,4.0,Image,Cooling mesh panels for workouts — men athletic briefs you’ll actually love.,Broad,Facebook,IN
